Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1000,Manchester Leisure,Refuse Collection,12/12/2024,5105964718,Biffa Municipal Limited,"£58,578.02"
Manchester City Council,1000,Manchester Leisure,Electricity,12/12/2024,1908671148,Haven Power Ltd,"£58,356.40"
Manchester City Council,1000,Manchester Leisure,Bed & Breakfast Acc,06/12/2024,5105964534,IP Housing,"£58,331.75"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679716,Dell Care Ltd,"£58,000.00"
Manchester City Council,1000,Manchester Leisure,Security,12/12/2024,5105965458,Showsec International Ltd,"£57,657.60"
Manchester City Council,1002,Hospitality + Trading Services,Electricity,12/12/2024,1908671150,Haven Power Ltd,"£57,585.48"
Manchester City Council,1003,Environment and Operations,Works and associated costs for Land and Buildings,19/12/2024,5105967334,Seddon Construction Ltd,"£57,458.75"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963844,Mace Ltd,"£56,642.00"
Manchester City Council,1011,Chief Executives,Postage,03/01/2025,5105964260,Civica Election Services,"£56,405.78"
Manchester City Council,1013,Highways Services,Professional Fees,19/12/2024,5105967135,Thermal Road Repairs,"£56,139.17"
Manchester City Council,1005,Adult Social Care,Extra Care Sheltd HP,16/12/2024,1908673735,Premier Care  Ltd,"£56,003.64"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,10/12/2024,5105963842,Mace Ltd,"£55,872.00"
Manchester City Council,1005,Adult Social Care,Residential Care Homes Payments,20/12/2024,1908679551,Redacted Personal Information,"£55,112.52"
Manchester City Council,1000,Manchester Leisure,Payments to Contractors,17/01/2025,5105965031,NSL Ltd,"£55,002.17"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,16/12/2024,5105965287,The Mustard Tree,"£55,000.00"
Manchester City Council,1005,Adult Social Care,Third party payments relating to Voluntary Organisations,23/12/2024,5105965882,Change Grow Live Services Ltd,"£54,918.00"
