Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1007,Corporate Services,Security,10/02/2025,5105973844,MITIE SECURITY LIMITED,"£141,410.00"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,19/02/2025,5105975769,Kaberry Construction Ltd,"£141,284.05"
Manchester City Council,1007,Corporate Services,Security,27/02/2025,5105976793,MITIE SECURITY LIMITED,"£141,253.73"
Manchester City Council,1007,Corporate Services,Security,10/02/2025,5105973842,MITIE SECURITY LIMITED,"£141,246.43"
Manchester City Council,1007,Corporate Services,Security,17/02/2025,5105975946,MITIE SECURITY LIMITED,"£141,080.21"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,24/02/2025,1908740197,BRIDGES SOLICITORS,"£139,753.90"
Manchester City Council,1000,Manchester Leisure,Tipping - Tonnage,28/02/2025,5105977886,Redgate Holdings Ltd,"£139,512.30"
Manchester City Council,1003,Environment and Operations,Construction Works,20/02/2025,5105975226,A.E Yates Ltd,"£139,112.83"
Manchester City Council,1007,Corporate Services,VPF&E Adaptations,27/02/2025,5105977839,F Parkinson Limited,"£139,069.42"
Manchester City Council,1000,Manchester Leisure,Rents,13/02/2025,5105975991,VSPG Housing 2 Ltd,"£138,696.91"
Manchester City Council,1003,Environment and Operations,Construction Works,28/02/2025,5105977902,Coating Services Limited,"£136,239.46"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,07/02/2025,5105974713,EQUANS Regeneration Limited,"£130,858.15"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,12/02/2025,1908728126,Great Minds Together Ltd,"£127,100.00"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,12/02/2025,1908728129,Great Minds Together Ltd,"£127,100.00"
Manchester City Council,1010,Housing Revenue Account,CD - Acquisition,27/02/2025,1908745799,TM Fortis Solicitors,"£125,000.00"
Manchester City Council,1010,Housing Revenue Account,Works and associated costs for Land and Buildings,11/02/2025,5105975062,Northern Gateway (FEC) No.10 Limite,"£124,492.98"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,21/02/2025,5105976684,EQUANS Regeneration Limited,"£124,439.59"
Manchester City Council,1002,Hospitality + Trading Services,Refuse Collection,13/02/2025,5105974703,Biffa Municipal Limited,"£123,720.34"
Manchester City Council,1000,Manchester Leisure,Works and associated costs for Land and Buildings,27/02/2025,5105977196,Warden Construction Ltd,"£122,557.34"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,21/02/2025,5105976228,Warden Construction Ltd,"£121,658.91"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,20/02/2025,5105976903,Mace Ltd,"£121,029.00"
Manchester City Council,1000,Manchester Leisure,Rents,13/02/2025,5105975843,VSPG Housing Ltd,"£120,830.00"
Manchester City Council,1000,Manchester Leisure,Rents,14/02/2025,5105976118,Manchester Housing Group Ltd,"£119,149.52"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,12/02/2025,5105975665,Redacted Personal Information,"£118,116.00"
Manchester City Council,1000,Manchester Leisure,Rents,28/02/2025,5105977627,Manchester Housing Group Ltd,"£118,091.77"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,03/02/2025,5105973777,Manchester Uni NHS Foundation Trust,"£117,894.88"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,28/02/2025,5105978195,Warden Construction Ltd,"£117,456.97"
Manchester City Council,1012,Regeneration Finance,Subvention Payments,17/02/2025,5105974310,Manchester Creative Digital Assets,"£117,315.00"
Manchester City Council,1000,Manchester Leisure,Third party payments relating to Voluntary Organisations,11/02/2025,5105973802,Nacro,"£117,306.00"
Manchester City Council,1007,Corporate Services,Internal Repairs and Maintenance for buildings,17/02/2025,5105976060,EQUANS Services Limited,"£115,818.19"
Manchester City Council,1024,General Fund,Apprenticeship Levy,28/02/2025,1908745701,HM Revenue & Customs,"£113,636.68"
Manchester City Council,1010,Housing Revenue Account,Council Dwelling Fees,21/02/2025,5105976846,Emanuel Whittaker Ltd,"£112,704.14"
Manchester City Council,1004,Childrens & Education Services,Residential Care Homes Payments,21/02/2025,1908738982,Enabling Futures Ltd,"£108,655.15"
Manchester City Council,1009,Housing General Fund,Building Works,20/02/2025,5105976869,Wythenshawe Community Housing Group,"£108,248.20"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,28/02/2025,5105978041,Oldham College Corporation,"£108,064.16"
Manchester City Council,1003,Environment and Operations,Construction Works,28/02/2025,5105977005,J.Hopkins (Contractors) Ltd.,"£107,453.52"
Manchester City Council,1011,Chief Executives,Third party payments relating to Voluntary Organisations,10/02/2025,5105973710,HOME,"£105,699.50"
Manchester City Council,1011,Chief Executives,Third party payments relating to Voluntary Organisations,28/02/2025,5105978142,HOME,"£105,699.50"
Manchester City Council,1007,Corporate Services,Internal Repairs and Maintenance for buildings,28/02/2025,5105976677,EQUANS Services Limited,"£103,701.89"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,27/02/2025,5105977768,24x7 Ltd,"£103,403.33"
